Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24-hours rate (Revised),Standardized,Max,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",85.7 %,,85.7 %,,85.7 %,97.6 %,85.7 %,"
92.5 %",85.7 %,0 %,,,,,85.7%,,,,,"SAC 1 PSIs reported on time due to emphasis of the need to improve SAC 1 reporting during meetings, continuous monitoring and reporting of SAC 1 and the utilisation of WhatsApp reporting.",Support and encourage continuous monitoring of reporting and capturing SAC 1 PSIs within 24 hours.,"Target achieved due to	
all SAC 1 incidence were reported on time, through WhatsApp followed by completion and submission of Section A notification forms to the manager before the end of the shift.
",N/A,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,Still birth in facility rate (Per 1000 births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Pre-XDR loss to follow up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Pre-XDR treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Rifampicin resistant/Multidrug - Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,TB Rifampicin resistant/Multidrug - Resistant treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0 %,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Annually,Ideal hospital status obtained rate ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,58.3 %,100 %,58.3 %,100 %,,Target achieved. All twelve District Hospitals have been assessed and achieved an Excellent ideal status. ,N/A,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Annually,Patient Experience of care satisfaction rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,83 %,,83 %,,,,,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Annually,Patient experience of care satisfaction rate (Revised),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,90 %,86 %,90 %,86 %,,"Target not achieved due to five domains namely access to care, cleanliness, patient safety, values and attitudes, and waiting times influenced poor performance:",Facilities developed quality improvement plans (QIPs) that shall be monitored for progress.,,90%,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Annually,Percentage of beds in district hospitals offering acute ill mental health care users (72hrs assessment),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,8.6 %,9.8 %,8.6 %,9.8 %,,Target achieved.,N/A,,,,,,,,,,,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Quarterly,Child under 5 years diarrhoea case fatality rate,Standardized,Average,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1.3 %,0 %,1.3 %,0.35 %,1.3 %,0.36 %,1.3 %,"
0 %",1.3 %,0 %,,,,,,"Target achieved, Effective implementation of IMCI protocol",Sustain performance in Q2,"Target achieved. Allocation of IMCI trained clinicians in Child Health rooms.
Mentoring of IMCI trained clinicians on the implementation of guidelines
",Continue mentoring and support to IMCI clinicians,Target achieved due to improved trainings and management of emergencies at PHC and allocation of IMCI trained clinicians in the Child Health rooms,n/a,"Target achieved due to the following:
•	Continuing with IMCI Training 
•	Strengthen Rotavirus uptake & vaccine availability through Provision of Rotavirus vaccine to all children under 5 years.
•	Continuing with Auditing of road to health booklets 
•	Early diagnosis and appropriate management.
•	Prompt seeking care by mothers and care givers, who are alarmed by the child with diarrhea and vomiting/not feeding.
•	Oral rehydration corners.

",N/A,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Quarterly,Child under 5 years pneumonia case fatality rate,Standardized,Average,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",1.3 %,0.74 %,1.3 %,0.53 %,1.3 %,0.5 %,1.3 %,"
0.13 %",1.3 %,0 %,,,,,,"Target achieved, Effective implementation of IMCI protocol",Sustain performance in Q2,"Target achieved. Allocation of IMCI trained clinicians in Child Health rooms.
Mentoring of IMCI trained clinicians on the implementation of guidelines
",Continue mentoring and support to IMCI clinicians,Target achieved due to improved training and management of emergencies at PHC and allocation of IMCI trained clinicians in the Child Health rooms,n/a,"Target achieved.
•	To continue with the urgent management of patient with respiratory conditions.
•	Consultant on call assist with ED remotely with discussion of all new patients for the speedy admission and management.
•	Daily ward rounds
•	Improved training, awareness, and referral
•	Ongoing primary health education.
•	Collaboration between community traditional healers and local health care institutions.
•	Monitoring of essential resources

",N/A,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Quarterly,Child under 5 years severe acute malnutrition case fatality rate,Standardized,Average,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",6.9 %,4.1 %,6.9 %,2.2 %,6.9 %,1 %,6.9 %,"
5.4 %",6.9 %,0 %,,,,,,"Target achieved, Effective implementation of the SAM treatment protocol",Strengthen early detection at PHC level in Q2,"Target achieved. Allocation of IMCI trained clinicians in Child Health rooms
Mentoring of IMCI trained clinicians on the implementation of guidelines
",Continue mentoring and support to IMCI clinicians,Target achieved due to improved training and management of emergencies at PHC and allocation of IMCI trained clinicians in the Child Health rooms,n/a,"Target achieved due to the following:
•	Mitigating by discussing every case as it arrives in ED, between consultant and ED MO.
•	Acting aggressively on all abnormalities.
•	Close monitoring of patients in the ward by our nurses and multidisciplinary team involvement.
•	The introduction of Clinical Associates by our hospital assisted with close monitoring after hours
•	Continuation of Health promotion and outreach services.
",N/A,283
Health,Health,Gauteng,Programme 2: District Health Services,Sub-programme 2.2: District Hospitals,Quarterly,Complaints resolution within 25 working days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",98.8 %,100 %,98.8 %,100 %,98.8 %,98.8 %,98.8 %,"
100 %",98.8 %,200 %,,,,,,Target achieved because of timeous investigation of complaints and availability of complainants within the prescribed timelines for redress.,N/A,Target achieved because all complaints resolved were resolved within 25 working days,N/A,Target achieved due to timeous investigation of complaints.,n/a,Target achieved. Timeous investigation of complaints and availability of complainants for redress meetings within the expected time frame.,N/A,283
