Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q4,DesiredPerformance,OTP_Q1,OTP_Q2,OTP_Q3,National_Summary,National_Q1,National_Q2,National_Q3,National_Q4,UID
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at technology transfer events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",42,50,Officials received invitations to present at technology transfer events,None,31,50,Staff received requests to present at various technology transfer events occurred during Q2,N/A,42,52,Staff received request for them to present during Technology Transfer events,None,20,42,Officials were requested to do presentations at technology events,N/A,135,194,194,Target achieved,,,,,,,Target over-achieved. Kindly revise the reason for the deviation and provide a corrective action statement.,Annual target achieved,noted , noted ,124% achievement. Reason for deviation and corrective action must be provided for both over and under performance.  ,210% achievement. Reason for deviation noted ,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of scientific papers published in accredited  journals,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Target planned for Q3,None,0,0,No target planned for Q2,N/A,2,2,Target Achieved,None,0,0,No target planned for this quarter,N/A,2,2,2,Target achieved,,,,,,,,,,None ,None ,None,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 5:	Research and Technology Development Services,Sub Programme 5.3: Research Infrastructure Support Services,Quarterly,Default,Non-Standardized,Not  Applicable,Not Applicable,-,Not Applicable,0,0,,,0,,,,0,,,,0,,,,0,0,,,,,Please capture the actual output even if the target is zero,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 5:	Research and Technology Development Services,Sub Programme 5.3: Research Infrastructure Support Services,Quarterly,Number of research infrastructure managed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,1,1,Target achieved,N/A,3,1,"Target not Achieved, however remedial action will be implemented in Q4 to recover the shortfall",annual target to be met in Q4,2,1,,N/A,6,3,6,Target achieved,,,Please provide the reason for deviation and corrective action.,,,,,Annual target achieved,,None,33% achievement. Detailed reason for deviation and corrective action must be provided, Reason for deviation and corrective action for the performance is not provided.,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agribusinesses supported with Black Economic Empowerment advisory services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",6,4,Demand received less requests from this quarter. Shortfall to be recovered in Q2,Shortfall to be recovered in Q2,9,10,The Department was able to support more agribusinesses to make-up for the Q1 shortfall.,N/A,9,10,Target over- achieved to make for the Q1 shortfall,N/A,9,11,Additional request was received from agribusinesses and responded to by the Department.,N/A,33,35,35,"Additional requests from agribusinesses on AgriBEE fund and, as per the norm, were advised on black economic empowerment in the process.
",N/A,,,,,,Target overachieved. Kindly provide the reason for the deviation and corrective action.,Annual target achieved,reason for deviation must be stated as well as the corrective measure ,None ,111% achievement. Reason for deviation and corrective action must be provided for both over and under performance. ,Reason for deviation is noted,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of beneficiaries supported with marketing  advisory services,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",100,107,Matimatolo training attendees were more than planned,None,100,107,Some of the SA Gap Audits planned for Q1 were ultimately finalized in Q2 due to late signing of the MOU.,N/A,100,100,Target Achieved,N/A,150,114,A greater number of clients were supported in the previous quarters,The Department has already achieved the annual target,450,428,450,Target achieved,N/A,,,,,,,Annual target achieved. Quarterly achievements differ with pre-audited output reported. Reason for the deviation is not provided,,noted,None,Reason for deviation and corrective action is noted ,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of clients supported with production economic services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,64,Famers day was postponed,Shortfall to be recovered in Q2,100,203,More farmer turn-out on information days,N/A,100,280,High turn-out of beneficiaries on Information days,N/A,150,71,Fewer requests received than anticipated in quarter 4.,The over-achievement registered in the previous quarters has enabled the Department achieved annual target.,450,618,618,High turnout of attendees during information days and other workshops.,N/A,,,,,,Target overachieved. Kindly provide reason for deviation and corrective action.,137.3% achievement. Reason for deviation is noted,"the reason for the postponement should be stated, and corresponding corrective action be provided accordingly.",noted,280% achievement. Reason for deviation and corrective action must be provided for both over and under performance.,Reason for deviation and corrective  action is noted ,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Annually,Number of agri-businesses supported with agro-processing initiatives,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,500,0,,,500,0,,The Department tracks this indicator on quarterly basis and had provided progress as such,N/A,,,,,,,Noted,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 6: Agricultural Economic Services,Sub Programme 6.2: Agro-Processing Support,Quarterly,Number of agri-businesses supported with agroprocessing initiatives,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",150,180,Activity is demand driven and received more requests then planned ,,150,173,More farmer requests were received.,N/A,100,100,Target achieved,N/A,100,148,There was more turn-out of attendees during workshops and farmer days.,N/A,500,601,553,High turnout of attendees during information days and other workshops,N/A,,,,,Kindly provide a corrective action statement.,,110.6% achievement.  Reason for deviation is provided,,noted,None , Reason for deviation is noted.,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 6: Agricultural Economic Services,Sub Programme 6.3: Macroeconomics Support,Quarterly,Number of economic reports produced by the Department,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,,,1,1,Target achieved,N/A,1,1,target achieved,N/A,1,1,Target achieved,N/A,4,4,4,Target achieved,N/A,,,,,,,Annual target achieved,None ,None ,None,None ,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 7: Agricultural Education and Training,Sub Programme 7.1: Higher Education and Training,Annually,Number of students graduated with agricultural qualification,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,90,106,,,,,,,90,106,106,This is due to students who took more more than three years to attain their qualifications,N/A,,,,,,,117.8% achievement. Reason for deviation is noted,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of career awareness activities implemented  to promote agriculture,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",37,44,Department received more requests om schools. Indicator is demand driven,None,32,55,The Department received more requests from schools in attempts to prepare Grade 12 learners they exits the system.,N/A,23,18,Less invitations were received from schools. Shortfall will be achieved in Q4,Annual Target will be achieved in Q4,28,20,More requests for career expos were received,N/A,120,137,137,The Department received more requests from schools. The indicator is Demand driven,N/A,,"Target not achieved, please review the reason for deviation is not in line the reported performance.",,,,The reason for deviation and corrective action is noted.,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 7: Agricultural Education and Training,Sub Programme 7.2: Agricultural Skills Development,Quarterly,Number of participants trained in skills development programmes in the sector,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",402,308,"Delays in the finalization of the Rural Enterprise and Integrated Development (REID) training programme.
Shortfall to be recovered in Q2.
",Shortfall to be recovered in Q2,476,493,the Department received more requests for training,N/A,477,509,Due to remedial action to recover from Q1 shortfall,None ,400,416,More applications were received,N/A,1755,1726,1755,Target achieved,N/A,,,,,,Target overachieved. Kindly provide reason for deviation and corrective action.,Annual target achieved,Noted., noted,107% achievement is noted.   Detailed reason for deviation and corrective action must be provided,Reason for deviation is noted.,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,,,0,,,,0,,,,0,,,,0,0,,,,,Please capture the actual output even if the target is zero,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 8: Rural Development ,Sub Programme 8.1: Rural Development Coordination ,Quarterly,Number of graduates enrolled into Unemployed  Agriculture Graduates Programme,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",39,62,Top achievers recruited from college,,0,0,No target planned for Q2,N/A,6,0,Annual target already achieved in Q1,N/A,0,0,No target planned for this quarter,N/A,45,62,50,"This is due to the replacement of beneficiaries who left the programme for greener pastures.
",N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,,,0,0,No target planned for Q2,N/A,0,0,Not planned,N/A,0,,,,0,0,,,,,Please capture the actual output even if the target is zero,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Number of agricultural projects provided with Social Facilitation,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",3,0,"Some of the facilitation engagements were clashing with tribal slots, resulting to delays in the finalization process. The Department has committed to provide meeting schedules two months in advance. 
",Shortfall to be recovered in Q2,2,5,The Department provided more support for social facilitation to recover Q1 shortfall performance.,N/A,3,3,Target Achieved,N/A,2,2,Target achieved,N/A,10,10,10,Target achieved,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Number of rural projects supported with mentorship,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Education and Skills Development ,"Governance, State Capacity and Institutional Development cluster",0,0,,,0,0,No target planned for Q2,N/A,0,10,Target Achieved,N/A,0,0,The Department does not report on this indicator,N/A,0,10,0,N/A,N/A,,,,,,,,,,,,209
"Agriculture, Forestry and Fisheries",Agriculture,KwaZulu-Natal,Programme 8: Rural Development ,Sub Programme 8.2: Social Facilitation ,Quarterly,Number of rural projects supported with mentorship,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing SMMEs and Cooperative,"The Economic Sectors, Employment and Infrastructure Development cluster",0,6,Continuation of 6 mentorship projects under BID awarded for a period of 3 years 2023-2026  ,None,10,10 ,Target achieved,N/A,10,10,Target Achieved,N/A,10,10,Target achieved,N/A,30,36,30,Target achieved,N/A,,,,,,,,,,,,209
