Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q2,CorrectiveAction_Q2,UID
The Presidency,The Presidency,National,Administration,Corporate Management,Annually,Concept document for NMOG  2024 approved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,"Approved NMOG 2024
concept document",NMOG not approved ,,,"Approved NMOG 2024
concept document",,,The NMOG concept document was submitted by there was no proof of approval,To submit the concept note for approval by the DG,,,,300
The Presidency,The Presidency,National,Administration,Corporate Management,Annually,Percentage of PWD employed  in Presidency against national  targets,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,2.5 %,2.23 %,,,2.5 %,,,"The target was underachieved by 0, 27% due to very few post that were filled during the period under review. ",Prioritise people with disabilities when filling posts and encourage employees to disclose their disability status. ,,,,300
The Presidency,The Presidency,National,Administration,Corporate Management,Annually,Percentage of SMS women in  Presidency against national  targets,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,50 %,46 %,,,50 %,,,The target was underachieved by 4% due to very few post that were filled during the period under review. ,Fill SMS posts with women. ,,,,300
The Presidency,The Presidency,National,Administration,Corporate Management,Quarterly, Level of implementation of a master plan for Presidency ICT  modernisation,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,-,-,N/A,None,"Master plan for Presidency
ICT modernisation
developed
","The master plan has not yet been developed
","Master plan for Presidency
ICT modernisation finalised
and approved
","The master plan has not yet been approved
","The appointment of a strategic partner, targeted (CSIR), to assist with the master plan, including specification is not finalised
",The Branch is finalising the appointment of the service provider to assist with the development of the mater plan. ,"Implementation of Q4
milestones in master
plan for Presidency ICT
modernisation
","The master plan has not yet been developed
","The appointment of the Service provider to assist with the project has not been finalised. 
",To appoint a service provider ,"Master plan for Presidency
ICT modernisation
approved and
implemented",-,,,,,The appointment of the Service provider to assist with the project has not been finalised,The appointment to be finalised in order to commence with the project,300
The Presidency,The Presidency,National,Administration,Corporate Management,Quarterly, Number of dashboards  tracking the  recommendations arising  from the reports issued by  the SIU,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,0,0,N/A,None,0,0,1,1,None,N/A,1,1,None,N/A,2,2,,,,,N/A,None,300
The Presidency,The Presidency,National,Administration,Corporate Management,Quarterly," Number of reviews of the  implementation the National  Anti-Corruption Strategy,  providing recommendations  to strengthen reporting and  accountability",Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,0,0,N/A,None,1,1,0,0,None,N/A,1,1,None,N/A,2,2,,,,,N/A,None,300
The Presidency,The Presidency,National,Administration,Corporate Management,Quarterly,"Business case for a fit for  purpose Presidency, aligned  to the optimal delivery model,  approved for implementation",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,-,-,N/A,None,"Draft optimal delivery
model for a fit for purpose
Presidency developed","The draft delivery model was produced. 
","Optimal delivery model for
a fit for purpose Presidency
finalised
",The SDM was approved by the Acting DG and Secretary of Cabinet on 30 December 2024,None,N/A,"Aligned business case for a
fit for purpose Presidency
developed and submitted
for approval
","The Business Case not finalised by March 2025.
"," There was no evidence that the Business Case was finalised for approval by the relevant structures by March 2025, as outlined in the TID
",To finalise the Business Case ,"Business case for a fit
for purpose Presidency,
aligned to the optimal
delivery model, submitted
for approval",-,,,,,N/A,None,300
The Presidency,The Presidency,National,Administration,Corporate Management,Quarterly,Number of progress reports  on the implementation of  the Inauguration Project  Master Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,1,1,N/A,None,1,"The close out report was produced.
",0,0,None,N/A,0,0,N/A,N/A,2,1,,,,,N/A,None,300
The Presidency,The Presidency,National,Administration,Corporate Management,Quarterly,Turnaround time for payments  to suppliers,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,30,19,N/A,None,30,14,30,10,None,N/A,30,14,None,N/A,30,14,,,,,N/A,None,300
The Presidency,The Presidency,National,Administration,Ministry of Electricity,Quarterly, Number of dashboards  tracking progress in the  implementation of the Energy  Action Plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,1,1,N/A,None,1,1,1,1,None,N/A,1,1,None,N/A,4,4,,,,,N/A,None,300
The Presidency,The Presidency,National,Administration,Ministry of Electricity,Quarterly, Number of dashboards  tracking progress in the  responsibilities arising from  the MOU,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,1,0,"The target was not met because the dashboard was not developed.  The MoU was finalised in January 2024, at which point the 2024/25 Shareholder compact was substantially completed. As such, it was agreed not to review at that stage, but rather that DPE would proceed to finalise in order to meet the governance deadlines. Further, the alignment of timelines for report also presented a challenge in that both ESKOM and the Department reporting period are concurrent. In practice, this means ESKOM finalises its reporting (q1) during July and submits to DPE during August.
","Since the MoU was only valid until May 2024, and in view the pending election, the view undertaken was not to pursue the Dashboard, but rather re-align once it became clear, post elections how the reporting between the entity and shareholder would be handled.

",1,0,1,0,"The MoU expired in May 2024, and following the 7th Administration. The Minister of Electricity and assumed responsibility as the Shareholder for Eskom
",The Minister of Electricity assumed responsibility as the Shareholder for Eskom,1,"The dashboard was not produced.
","The MoU expired in May 2024, and following the 7th Administration. The Minister of Electricity and assumed responsibility as the Shareholder for Eskom
","The indicator is no longer relevant; therefore, it must be removed from the APP in the next financial year. ",4,0,,,,,"The MoU expired in May 2024, and following the 7th Administration. The Minister of Electricity and assumed responsibility as the Shareholder for Eskom
",None,300
The Presidency,The Presidency,National,Administration,Office of the Deputy President,Annually, Number of reports on the  delegated regional and  international relations  responsibilities ,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,"International Cooperation, Trade and Security cluster",,,,,,,,,,,,1,1,,,1,,,None,N/A,,,,300
The Presidency,The Presidency,National,Administration,Office of the Deputy President,Quarterly, . Number of engagements with  stakeholders on government’s  land reform and agricultural  support programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,1,1,N/A,None,1,1,1,1,None,N/A,1,1,None,N/A,4,4,,,,,N/A,None,300
