Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,OTP_Q3,National_Q3,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Sub-Programme 3.1: Primary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Sub-Programme 3.1: Primary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Sub-Programme 3.2: Secondary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 3: Independent School Subsidies,Sub-Programme 3.2: Secondary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,POI 401: Number of       special schools with     access to assistive devices,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,12,0,12,0,,LDOE is participating in a National Treasury Transversal Contract. Delays in the arrangement of a transversal.,Expedite procurement processes.,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,SOI 401: Number of learners in public special schools,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,8300,8771,8300,8771,,Increased screening and identification of learners experiencing barriers to learning requiring high levels of support,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.1: Schools,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.1: Schools,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 4:  Public Special School Education,Sub-Programme 4.2: Human Resource Development,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
