Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.1 Departmental Management,Quarterly,Audited Annual Report,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Annual Report submitted to Auditor-General SA by 31 May 2022,Annual Report was submitted to Auditor-General SA by 31 May 2022,None,None,Audited Annual Report Submitted to National Treasury and Parliament by due date,Audited Annual Report submitted to National Treasury by 31 July 2022 and Parliament by 27 September 2022,None,None,Present Annual Report to Parliament,2021/22 Audited Annual Report presented to Parliament,None,None,-,,Produce AR and submit to AGSA for audit and to NT and Parliament by due dates,-,"Annual Report was produced and submitted to Auditor-General SA, NT and Parliament by due dates",None,None,"Annual Report was produced and submitted to Auditor-General SA, NT and Parliament by due date",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,"1.2 Risk, Anti-corruption and Integrity Management",Quarterly,Percentage of designated employees submitting financial disclosures,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100%,99% compliance in submission of financial interests within the specified time frame of 30 April 2022),"Target missed by a percentage point (1%)  

78 out of 79 SMS members, complied with the submission of financial interests
",Disciplinary measures will be instituted against the Official through Labour Relations Unit. The official has subsequently submitted the financial interests through a concession granted by the DPSA in June 2022 ,100%,80% (52 of  65)  designated employees complied with the submissions of financial interests within the specified timeframes of 31 July 2022,13 ASD’s including OSD officials failed to comply with the submission of financial interests within the specified time frame of 31 July 2022. The officials provided various reasons for non-submission as per the submission to the DG,"Disciplinary measures will be instituted against the officials who did not comply. The officials were granted concessions by the DG, to ensure that they submit their outstanding financial interests once the DPSA opened the e- Disclosure system for the officials",-,N/A,N/A,N/A,-,,100% compliance in submission of financial interests by all designated employees within the specified time frames,-,"99% compliance in
submission of financial
interests within the
specified time frame of 30 April 2022)

78 out of 79 SMS members,
complied with the submission of financial interests

80% (52 of  65)  designated employees  (ASD L9 &10) complied with the submissions of financial interests within the specified timeframes of 31 July 2022
","Target missed by a percentage
point (1%)



Target missed by 20 % ","The official has subsequently submitted the financial interests through a concession granted by the
DPSA in June
2022

7 ASD’s   failed to comply with the submission of financial interests within the specified time frame of 31 July 2022

Report as at 31 March 2023: 60 ASD’s and 1 OSD had submitted the financial disclosures.

Submission was routed to Employee wellness to institute disciplinary measures  
","99% compliance in
submission of financial
interests within the
specified time frame of 30 April 2022)

78 out of 79 SMS members,
complied with the submission of financial interests

80% (52 of  65)  designated employees  (ASD L9 &10) complied with the submissions of financial interests within the specified timeframes of 31 July 2022
",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.3 Human Resource Management ,Quarterly,Maintain vacancy rate of 10% or below on the recruitment plan,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Fill vacancies and achieve a vacancy rate of 10% or below,"The average vacancy rate for the quarter is 8.2% 

Note:
The DPME for the purposes of calculating the vacancy rate only included posts that are funded as per the EXCO decision after the budget cuts implemented by National Treasury
","None
",None,Fill vacancies and achieve a vacancy rate of 10% or below,"The average vacancy rate for the quarter is 7.7% 

Note: The DPME for the purposes of calculating the vacancy rate only included posts that are funded as per the EXCO decision after the budget cuts implemented by National Treasury
",None,None,Fill vacancies and achieve a vacancy rate of 10% or below,"The average vacancy rate for the quarter is 8,3% 

Note: 
For purposes  of calculating the vacancy rate, only funded vacant posts are included.
",None,None,Fill vacancies and achieve a vacancy rate of 10% or below,"Target Not Achieved: 
The average vacancy rate for the quarter is 10.3% 

Note: The DPME for the purposes of calculating the vacancy rate only included posts that are funded as per the EXCO decision after the budget cuts implemented by National Treasury",Maintain a vacancy rate of 10% or less annually,-,"The average vacancy rate for the year is 8,4% ",None,None,"The average vacancy rate for the year is 8,4% ",0.3% deviation from the target,"Due to Minister reshuffling, posts became open and will be filled soon
",153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 1 : ADMINISTRATION,1.4 Chief Financial Officer,Quarterly,Payment to suppliers turnaround times,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,30 working days on average,All invoices paid within 30 days from day of receipt of invoice,None,None,30 working days on average,100% of received valid invoices paid within 30 days of receipt.,"30 days exception Reports for July, August and September 2022",None,30 working days on average,100% of valid invoices received paid within 30 days of receipts,None,None,30 working days on average,"100% of valid invoices received paid within 30 days of receipts
",30 working days on average,-,All invoices paid within 30 days from day of receipt of invoice,None,None,All invoices paid within 30 days from day of receipt of invoice,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,NDP monitoring report,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,Report on monitoring NDP Indicators and Targets,,Report on monitoring NDP Indicators and Target was produced,None,None,Report on monitoring NDP Indicators and Target was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,Number of research projects completed in support of implementation of the NDP,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 consolidated report on all research projects to review and support implementation of the NDP produced,,"1 synthesis report on all research projects to review and support
Implementation of the NDP was produced
",None,None,"1 synthesis report on all research projects to review and support
Implementation of the NDP was produced",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,Number of stakeholder engagements report,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 consolidated stakeholder engagements report on NDP implementation,,Stakeholder engagements report on NDP implementation,None,None,Stakeholder engagements report on NDP implementation,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,2.1 National Planning Commission (Secretariat),Annually,Annual report on the work of the NPC,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,"Produce the Annual Report for 2021/22, which reflect the contribution of the NPC",,NPC Annual Report for 2021/2022 was produced ,None,None,NPC Annual Report for 2021/2022 was produced by 30 June 2022,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of assessment reports on received national institution’s Strategic Plans and Annual Performance Plans produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,42 assessment reports produced,,52 assessment  reports on received national institution’s Strategic Plans and Annual Performance Plans were produced ,Additional 10 assessment reports produced,None,52 assessment  reports on received national institution’s Strategic Plans and Annual Performance Plans were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of assessment reports on received provincial institutions Strategic Plans and Annual Performance Plans produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,Consolidated assessment reports for six provinces produced,,Consolidated Assessment Reports for six provinces were produced,None,None,Consolidated Assessment Reports for six provinces were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of Quarterly Performance Reporting Guidelines issued to all national departments,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 Guideline for National QPRs issued by 15 May 2022,,1 Guideline for National QPRS was issued to all National Institutions on 13 May 2022,None,None,1 Guideline for National QPRS was issued to all National Institutions on 13 May 2022,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of Quarterly Performance Reporting Guidelines issued to all Offices of the Premier,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 Guideline for Provincial QPRs issued by 15 May 2022,,"1 Guideline for Provincial
QPRS was issued to all Offices of the Premier on 13 May 2022
",None,None,"1 Guideline for Provincial
QPRS was issued to all Offices of the Premier on 13 May 2022",,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of concept notes on the automation of the planning system,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1 concept note on the automation of the planning system,,Concept note on the automation of the planning system was produced,None,None,Concept note on the automation of the planning system was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of reports on the revision of IPFB,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,One report on the revision of the IPFB produced,,One report on the revision of the IPFB was produced,None,None,One report on the revision of the IPFB was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Annually,Number of reports on the implementation of the localisation guidelines produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,One report on the implementation of the localisation guidelines,,One report on the implementation of the localisation guidelines was produced,None,None,One report on the implementation of the localisation guidelines was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Quarterly,Number of Budget prioritisation Frameworks developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,Draft Budget Prioritisation Framework,Draft Budget Prioritisation Framework developed,None,None,Budget Prioritisation Framework developed,One Budget Prioritisation Framework developed,None,None,-,,,,-,,"One Budget Prioritisation Framework
developed
",-,One Budget Prioritisation Framework was developed,None,None,One Budget Prioritisation Framework was developed,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 2: INSTITUTIONALISING NATIONAL PLANNING IN GOVERNMENT ,National Planning Coordination,Quarterly,Number of GIS maps showing spatialisation of government interventions produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,-,,,,Three GIS maps showing spatialisation of government interventions produced,Three GIS maps showing spatialization of government interventions produced,none,none,Two GIS maps showing spatialisation of government interventions produced,Two GIS maps showing spatialization of government interventions were produced,Five GIS maps showing spatialisation of government interventions produced,-,Five GIS maps showing spatialization of government interventions were produced,None,None,Five GIS maps showing spatialization of government interventions were produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Annually,"Number of Mid-term MTSF reviews outlining progress toward reducing unemployment, poverty and inequality produced ",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1,,1 Mid-Term review report was produced ,None,None,1 Mid-Term review report was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Annually,Number of Local Government Management self-assessment ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,20,,29 Local Government Management self-assessment were completed,"9 additional Local Government Management self-assessment completed
",None,29 Local Government Management self-assessment were completed,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Annually,Number of LGMIM Improvement Plans produced ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,4,,4 LGMIM Improvement Plans were produced,None,None,4 LGMIM Improvement Plans were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Annually,Number of consolidated LGMIM reports produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1,,1 LGMIM report was produced and distributed to management,None,None,1 LGMIM report was produced and distributed to management,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Annually,Number of reports on ease of doing business,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1,,1 report on ease of doing business was produced,None,None,1 report on ease of doing business was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Annually,Number of reports on monitoring of industrial master plans,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,,,,,,,,,,,,,,,1,,1 report on monitoring of industrial master plans was produced,None,None,1 report on monitoring of industrial master plans was produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Quarterly,Number of MTSF monitoring reviews indicating the extend of achievement of government priorities produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1 MTSF bi-annual monitoring review was produced and submitted to Cabinet,None,None,-,,,,1,1 MTSF Monitoring report (bi-annual) was produced and presented to Cabinet on 7 and 8 November 2022,None,None,-,,2,-,2 MTSF Monitoring reports were produced,None,None,2 MTSF Monitoring reports were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Quarterly,Percentage of required briefing notes produced,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,90%,"100% briefing notes were produced in against the Cabinet Memos

23x100/23 = 100%
",10% more briefing notes were compiled,Outcomes Teams work beyond reasonable working hours to ensure that all the Cabinet Memoranda have been responded to had briefing notes and were submitted timeously,90%,"100% 

Achievement 42 Briefings notes produced. 
Formula: 42x100/4= 100%
",Target exceeded by 10%,None,90%,"100%

40 Briefings notes   produced. 

Formula: 41x100/4= 100%
",None,None,90%,"100%                         
 17 Briefing notes were produced Formula: 
17x100/17= 100%
",90%,-,"100% briefing notes were produced against all the Cabinet Memoranda received

122/122 =100%
",Target exceeded by 10% ,None,"100% briefing notes were produced against all the Cabinet Memoranda received

122/122 =100%",Target exceeded by 10%,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Quarterly,Number of Operation Phakisa assessment ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1 Operation Phakisa (OP) Annual Assessment Report for 2021 was produced,None,None,-,,,,1,1 Operation Phakisa assessment report for first half of 2022/23 was produced,None,None,1,1 Operation Phakisa assessment report was produced,3,-,3 integrated assessment reports on the implementation of the Operation Phakisa Delivery labs was produced,None,None,3 integrated assessment reports on the implementation of the Operation Phakisa Delivery labs was produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Quarterly,Number of Covid-19 assessments,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1 Covid-19 assessment report was produced,None,None,1,1 Covid-19 report produced,None,None,1,"1 Covid-19 assessment
report was produced
",None,None,1,"1 Covid-19 assessment was produced
",4,-,4 Covid-19 assessments were reports produced,None,None,4 Covid-19 assessments were reports produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Quarterly,Number of GBV-F Reports ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,2,3 GBV-F reports was produced,Target exceeded by 1 Report,An additional request was made to monitor GBV-F closely and produce monthly reports to update and advice the principals accordingly,2,2 GBVF reports produced,None,None,2,"2 GBV-F reports were
produced
",None,None,2,2 GBV-F reports were produced,8,-,9 GBV-F reports were produced,"Target exceeded
by 1 report
",None,9 GBV-F reports were produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 3: SECTOR MONITORING SERVICES,PROGRAMME 3: SECTOR MONITORING SERVICES,Quarterly,Number of reports on Food and Nutrition Security,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1 progress report on NFNS plan was produced,None,None,1,1 Food and Nutrition Report produced,None,None,1,"1 Progress report on NFNS
plan was produced
",None,None,1,"1 progress report on Food and Nutrition Security was produced
",4,-,4 progress report on Food and Nutrition Security were produced,None,None,4 progress report on Food and Nutrition Security were produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of status reports on performance agreements signed and assessed in the implementation of the Ministerial PMDS,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Status report on 
annual assessment
",Status report on annual assessment was developed,None,None,-,,,,Status Report on contracting and mid-year assessment ,Status report on contracting and mid-year assessment was developed,None,None,-,,2 reports developed,-,2 status reports were developed,None,None,2 status reports were developed,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of reports on performance agreements signed and assessed in the implementation of the Heads of Departments (HOD) Performance Management Development System (PMDS),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,"Status Report on 
the evaluation of 
HoD
",Status Report on the evaluation of HoD was developed,None,None,-,,,,Status Report on performance agreements received,Status report on performance agreements received was developed,None,None,-,,2 reports developed,-,2 reports were developed,None,None,2 reports were developed,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of reports developed on the monitoring of National and Provincial departments performance and capability monitored,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,Mid-year monitoring report on the public service performance and capability ,Mid-year monitoring report on the public service performance and capability produced,None,None,-,N/A,N/A,,Annual monitoring report on the public service performance and capability ,"Annual monitoring report on the public service performance and capability was produced
",2 reports developed,-,2 reports were developed ,None,None,2 reports were developed,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of SOE contributing towards the MTSF monitored,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,1,1 SOE report contributing towards the MTSF produced,None,None,-,N/A,N/A,,1,"1 SOE report contributing towards the MTSF was produced
",2,-,2 SOE reports were produced,None,None,"2 SOEs monitoring
reports for 9 SOE’s
contributing towards
the MTSF were produced
",None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of frontline service delivery monitoring reports on the implementation of MTSF priorities at district level,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,1,1 Frontline Service Delivery monitoring report produced,None,None,-,,,,1,"1 Frontline service delivery monitoring report was produced
",2,-,2 Frontline Service Delivery monitoring reports were  produced,None,None,2 Frontline Service Delivery monitoring reports were  produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of Performance Reports for the Presidential Hotline (PH) Performance,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1 Report for Presidential Hotline Performance was developed,None,None,1,1 Presidential Hotline Performance Report produced,None,None,1,1 Presidential Hotline Performance Report was developed,None,None,1,"1 Presidential Hotline Performance report was produced
",4,-,4 Presidential Hotline Performance report were produced,None,None,4 Presidential Hotline Performance report were produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,	Number of targets in the PM&E Capacity Development Implementation Plan achieved,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,4 targets achieved,4 targets achieved,None,None,-,,N/A,N/A,4 targets achieved,"4 PM&E Capacity Development targets were achieved  
       Coordination of Partnerships
   
International Partnerships on PME   
 
Technical Advisory Support  
       
PM&E Communities of Practice
",8,-,8 targets in the PM&E Capacity Development Plan were achieved,None,None,8 targets in the PM&E Capacity Development Plan were achieved,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of monitoring reports on the institutionalization of the National Anti-Corruption Strategy (NACS),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,1,1 Bi-Annual Report on the institutionalisation of the NACS was produced,None,None,-,,,,1,"1 Bi-Annual Report on the
institutionalisation of the
NACS was produced
",None,None,-,,"2 Bi-Annual MTSF report regarding the 
institutionalisation of the NACS
",-,2 Bi-Annual MTSF reports on the institutionalisation of the NACS were produced,None,None,2 Bi-Annual MTSF reports on the institutionalisation of the NACS were produced,,,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,PROGRAMME 4: PUBLIC SECTOR MONITORING AND CAPACITY DEVELOPMENT ,Quarterly,Number of reports on Socio Economic Impact Analysis of The DDM developed or approved ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,1st Bi-Annual report,1st Biannual report produced,None,None,-,N/A,N/A,N/A,2nd Bi-Annual report,2nd Biannual report was produced,2 Bi-Annual reports on the socio-economic impact of DDM produced,-,2 Biannual reports on the socio-economic impact of DDM were produced,None,None,2 Biannual reports on the socio-economic impact of DDM were produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,"PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS","PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS",Quarterly,Number of Evidence Plans,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,-,,,,Draft Evidence Plan produced,Draft evidence plan produced ,None,None,Evidence Plan produced,1 Evidence plan was produced,"
1 produced",-,1 Evidence plan was produced,None,None,1 Evidence plan was produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,"PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS","PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS",Quarterly,Number of Evaluation Reports,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,Progress report ,Progress report produced,None,None,Progress report ,Progress report produced,None,None,4 ,"4 Evaluation reports were produced    
           
Report on Rapid Evaluation of the Economic Reconstruction and Recovery Plan (ERRP)  
                         
Implementation Evaluation of Operation Phakisa
 
Report of Land Restitution Impact Evaluation Study (LRES)     
    
Report on Rapid Assessment of the government’s intervention on the April 2022 flood disaster
",4 produced,-,4 Evaluation reports were produced,None,None,4 Evaluation reports were produced,None,None,153
"Planning, Monitoring and Evaluation","Planning, Monitoring and Evaluation",National,"PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS","PROGRAMME 5: EVALUATION, EVIDENCE AND KNOWLEDGE SYSTEMS",Quarterly,Number of Research Assignments ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,-,-,-,-,Progress report ,Progress report produced,None,None,Progress report ,Progress report produced,None,None,2,"3 Research assignments were produced 
 
Covid-19 2nd Edition Policy Briefs Report     
         
Evidence Brief on International Benchmarking on Social insurance and fuel levy            

Evidence Map Technical Report on National Strategic Plan on Gender-Based Violence and Femicide (GBVF)
",2 produced,-,3 Research assignments were produced,Target exceeded by 1 additional research assignment produced,None,3 Research assignments were produced,Target exceeded by 1,None,153
