Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,National_Q4,UID
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,2.5.3: Number of Community Safety Forums (CSFs) assessed on functionality per year*,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,2.5.4: Number of analysis reports on assessment of community police forum for functionality,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,1,None,None,,1,1,None,None,1,1,None,None,1,1,None,None,,4,4,,,,,,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,2.5.5: JCPS POA implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",1,0,The Office of the Premier suspended Cluster Committee meetings during the first quarter due to the General Elections. ,The meetings will reconvene in August 2024.,Reason for deviation,1,0,There were delays in submission of information by other JCPS stakeholders.,The JCPS report will be produced after receiving inputs from stakeholders. ,1,1,None,None,1,1 Quarterly report,None,None,Actual output information is required,4,1,,,,,Provide reasons for deviation and corrective measures and their new timelines,,,,,,,295
Police, Safety and Liaison,Eastern Cape,Programme 2: Provincial Secretariat for Police Service,Sub-Programme 2.5: Community Police Relations,Quarterly,2.5.6: Number of schools supported with safety patrollers ,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities, Social Cohesion and Safe Communities,"Justice, Crime Prevention and Security cluster",80,33,The under-achievement was a result of budget cuts from the Department of Public Works grant. The targets were reduced after the targets were set.,The targets will be adjusted in the next financial year. ,An Improvement plan to be submitted to the Director General of the Province. This matter should also be escalated to the HOD for intervention where there are bottlenecks.,80,34,The under-achievement was a result of budget cuts from the Department of Public Works grant. The targets were reduced after the targets were set.,The targets will be adjusted in the next financial year.,80,34,The under-achievement was a result of budget cuts from the Department of Public Works grant. The targets were reduced after the targets were set.,The targets will be adjusted in the next financial year.,80,34,The under-achievement was a result of budget cuts from the Department of Public Works grant. The targets were reduced after the targets were set.,The targets will be adjusted in the next financial year.,Actual output information is required and therefore in a case where there is a deviation also provide coreective measures,80,34,,,,,"Provide reasons for deviation, corrective measures and their new timelines",,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,Number of planned outreach programmes undertaken by the office of the MEC,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State", Social Cohesion and Safe Communities,Not Applicable,10,0,The PoE submitted is not aligned with means  of verifications stated on the Annual Performance Plan,The Office will develop the necessary documents to ensure compliance going forward,State the reason for deviation and corrective action.,10,8,Under achievement is due to system related challenges resulting in non capturing information ,"The new Core Staff team will undergo extensive training on the EDRMS to ensure compliance.
",10,0,"The under achievement is due to insufficient POE submitted and competing Departmental priorities.
","The Department will review target setting of outreach programmes to be priorities.
",10,10,N/A,N/A,,40,18,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Level of Combined Assurance Programme Maturity Assessment Score attained,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State", Social Cohesion and Safe Communities,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,Level 3,Level 2,,,,Level 3,Level 2,,"The under achievement is as a result of Combined Assurance Forum that could not sit as scheduled due to competing priorities and the absence of an appointed Audit Committee 

","TThe meeting to address all matters that could not be discussed was scheduled for 14 April 2025
",,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Level of Risk Management Maturity Assessment Score attained,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State",Not Applicable,,,,,,,,,,,,,,Level 5,Level 5,,,,Level 5,Level 5,,N/A,N/A,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Number of District Operating Model interventions implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State", Social Cohesion and Safe Communities,Not Applicable,,,,,,,,,,,,,,4,3,,,,4,3,,"Under-performance relates to the Refurbishment of the  Cofimvaba depot which was initially a Capital project and due to budgetary constraints the project was re-categorized as a maintenance project.  The site handover and excavations on site have already been undertaken. Work on site is in progress whilst the order is awaited for the delivery of materials. 
Processes and Advertisement of posts, Pending finalization of migration processes,  Counter-offer negotiation

","The project will be implemented in the new financial year as minor repairs and renovations.
. 
",,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,% of Resolutions from Intergovernmental Structures implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State", Social Cohesion and Safe Communities,Not Applicable,100 %,0 %,"EXCO DECISION MATRIX: Has not been received in Q1 due to transitional processes, However the unit was still making follow-up on outstanding resolutions and shared those that fall outside departmental mandate.  DPWI DECISION MATRIX: Unit has completed the reporting and tracking template. The template is yet to be presented to EXMA",EXCO DECISION MATRIX: Unit is continuing with resolution as per last matrix received.  DPWI DECISION MATRIX: Present the template in the next ordinary sitting of EXMA,,100 %,0 %,"The under achievement is because of non-seating of EXCO, provincial and national Technical MinMEC and MUNIMEC due to the transitional arrangements.","EXCO, Technical MinMec and MUNIMEC have resumed sittings with effect from Q3 report.",100 %,67 %,The underachievement is due to EXCO Resolutions that are ongoing ,"The Department will continue making follow-ups with outstanding resolutions with Programmes.
",100 %,85 %,"The underachievement is due to ongoing Resolutions
","The Department will continue to make follow up and provide update
",,100 %,85 %,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,%Implementation of Ethics and Anti-corruption functions in the department,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",100 %,91 %,Non- availability of Programs for the activities ,Shortfall to be recovered in the next quarter,,100 %,100 %,N/A,N/A,100 %,100 %,N/A,N/A,100 %,100 %,N/A,N/A,,100 %,100 %,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,0,0,0,,0,,,,00,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,Number of mainstreamed programs for designated groups implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State", Social Cohesion and Safe Communities,Not Applicable,1,1,N/A,N/A,,2,2,N/A,N/A,3,1,"The underachievement is due to Departmental competing priorities during the period under review.
","Outstanding mainstreamed programmes will be fast-tracked to achieve the desired target.
",4,4 ,N/A,N/A,,10,8,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,Number of strategic ICT initiatives implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,0,"The target has not been achieved for Q1 due to training of users that is scheduled for July 2024. 
e-Submission- system  is ready ",e-Submission- system . training will commence on 22 July 2024. ,,1,0,The underachievement is due to delays in approving User Acceptance Testing Report. Which resulted to rescheduling of training by the service Provider ,The UATR has been signed and the e-Contract training will be conducted in November. ,2,1,"The underachievement is due to the implementation of the Cyber Security Intrusion Prevention and Vulnerability Management Solution that was delayed due to the non-responsiveness of service providers which resulted to the cancellation of the Bid.
","The Department will re-advertised Bid during the last quarter.
",1,1,N/A,N/A,,5,2,,,,,,,,,,,,295
