Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q3,OTP_Q2,National_Q1,DesiredPerformance,UID
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.3.6 Neonatal death in facility rate (Per 1000 live births),Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",12,14.1,"Target not achieved.
Significant under-performance is observed in districts with central and tertiary hospitals which manage complicated cases. These districts include Buffalo City (13.7%), NMB (17.6%) and OR Tambo (20.8%). Severe prematurity caused by infections during pregnancy, hypoxia, infections, and congenital abnormalities contributed to the underperformance of the indicator.
","•	Ensure management of maintenance plans for neonatal unit’s equipment. 
•	Ensure availability of emergency budget to procure critical consumables and medicines.
•	Appoint a centralised co-ordinator at district level to manage equipment and bed utilisation.
•	Resuscitation of dedicated ambulance for maternal, child and neonatal healthcare services.
•	-Review in-transit monitoring of patient’s policy.
•	-Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
•	-Monitor adherence to guidelines on management of infections in pregnancy and neonates.
",12,14,12,15.8,"Target not achieved.
Significant under-performance is observed in districts with central and tertiary hospitals which manage complicated cases. Severe prematurity caused by infections during pregnancy, hypoxia, infections, and congenital abnormalities contributed to the underperformance of the indicator.
","•	Ensure management of maintenance plans for the neonatal unit’s equipment. 
•	Ensure availability of emergency budget to procure critical consumables and medicines.
•	Appoint a centralised co-ordinator at the district level to manage equipment and bed utilisation.
•	Resuscitation of dedicated ambulances for maternal, child and neonatal healthcare services.
•	Review in-transit monitoring of patient’s policy.
•	Strengthen the use of the Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
•	Monitor adherence to guidelines on the management of infections in pregnancy and neonates.
",12,15.9,"Target not achieved.
Significant under-performance is observed in districts with central and tertiary hospitals which manage complicated cases. These districts include OR Tambo (23.1%). NMB (19.6%). There is a significant reduction in Buffalo City from (17.6%) in Q3 to (11.8%) in Q4.
Severe prematurity caused by infections during pregnancy, hypoxia, infections, and congenital abnormalities contributed to the underperformance of the indicator.
","-Ensure management of maintenance plans for neonatal unit’s equipment. 
-Ensure availability of emergency budget to procure critical consumables and medicines.
-Appoint a centralised co-ordinator at district level to manage equipment and bed utilisation.
-Resuscitation of dedicated ambulance for maternal, child and neonatal healthcare services.
-Review in-transit monitoring of patient’s policy.
-Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
-Monitor adherence to guidelines on management of infections in pregnancy and neonates.
",12,0,,,,,When will all this be in place?,"Target not achieved.
Significant under-performance is observed in districts with central and tertiary hospitals which manage complicated cases. These districts include OR Tambo (19.0%).   Buffalo City (17.0%), NMB (16.2%).

Severe prematurity caused by infections during pregnancy, hypoxia, infections, and congenital abnormalities contributed to the underperformance of the indicator.
","•	Ensure management of maintenance plans for neonatal unit’s equipment. 
•	Ensure availability of emergency budget to procure critical consumables and medicines.
•	Appoint a centralised co-ordinator at district level to manage equipment and bed utilisation.
•	Resuscitation of dedicated ambulance for maternal, child and neonatal healthcare services.
•	Review in-transit monitoring of patient’s policy.
•	Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
•	Monitor adherence to guidelines on management of infections in pregnancy and neonates.
",,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.3.7 Vitamin A dose 12-59 months coverage,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",76 %,84.4 %,"Target overachieved.
The good performance is due to reconciliation of data collected at a community level and that collected at facility level.",,76 %,82.6 %,76 %,69.9 %,"Target not achieved.
Primary Healthcare Under Five Utilisation Rate was reduced from 3.5% in Q1 to 2.6% in Q3 which is the festive season. The rate negatively affected Vitamin A dose coverage.
","-	Allocate hired cars to underperforming districts/sub-districts to catch up with those children that were missed.    
-	Strengthen the administration of Vitamin A administration at a community level by Ward Based Outreach Teams.
",76 %,78.9 %,Target achieved.,,76 %,0 %,,,,,,Target overachieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.3.8 Still Birth in facility rate (per 1000 births),Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",18,21.5,"Target not achieved.
The underachievement is attributable to intrauterine deaths, hypertensive disorders, congenital abnormalities, antepartum haemorrhage.
","•	Implement the pregnancy testing circular to diagnose and start pregnant women on antenatal care at an early stage.
•	Capacitate clinicians on Basic Antenatal Care Plus, ANC High Risk Training and Essential Steps in management of Obstetric Emergencies.
•	Monitor adherence to guidelines and protocols by all clinicians on antepartum and intrapartum care.
•	Conduct clinical audits on stillbirth cases, identify gaps and formulate quality improvement plans.
•	Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
",18,21.1,18,21.9,"Target not achieved.
This performance is due to intrauterine deaths related to hypertensive disorders, congenital abnormalities and antepartum haemorrhage. However, there has been a significant reduction noted in BCM (from 33/1000 in Q2 to 26.3/1000 in Q3.
","•	Implement the pregnancy testing circular to diagnose and start pregnant women on antenatal care at an early stage.
•	Capacitate clinicians on Basic Antenatal Care Plus, ANC High-Risk Training and Essential Steps in the management of Obstetric Emergencies.
•	Monitor adherence to the guidelines and protocols by all clinicians on antepartum and intrapartum care.
•	Conduct clinical audits on stillbirth cases, identify gaps and formulate quality improvement plans.
•	Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
",18,23.9,"Target not achieved.
BCM (31.3/1000) OR Tambo (27.1/1000), NMB (23.6/1000) had the highest stillbirth rates due to intrauterine deaths related to hypertensive disorders, congenital abnormalities, antepartum haemorrhage. 
","-Implement the pregnancy testing circular to diagnose and start pregnant women on antenatal care at an early stage.
-Capacitate clinicians on Basic Antenatal Care Plus, ANC High Risk Training and Essential Steps in management of Obstetric Emergencies.
-Disseminate and train nurses and doctors on 2024 Integrated Maternal and Perinatal Care Guidelines
-Monitor adherence to guidelines and protocols by all clinicians on antepartum and intrapartum care.
-Conduct clinical audits on stillbirth cases, identify gaps and formulate quality improvement plans.
-Monitor the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
",18,0,,,,,When?,"Target not achieved. BCM (33/1000, NMB (24.4/1000) and OR Tambo (20.9/1000) had the highest stillbirth rates did not achieve due to intrauterine deaths related to hypertensive disorders, congenital abnormalities, antepartum haemorrhage.","•	Implement the pregnancy testing circular to diagnose and start pregnant women on antenatal care at an early stage.
•	Capacitate clinicians on Basic Antenatal Care Plus, ANC High Risk Training and Essential Steps in management of Obstetric Emergencies.
•	Monitor adherence to guidelines and protocols by all clinicians on antepartum and intrapartum care.
•	Conduct clinical audits on stillbirth cases, identify gaps and formulate quality improvement plans.
•	Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans.
",,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.3.9 Child under 5 years diarrhoea case fatality rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",2.5 %,2.4 %,Target achieved within the 5% margin of error.,"•	Screening of infections from pregnant women
•	Monitor implementation of IMCI and TB/HIV guidelines to diagnose and managed illnesses
•	Facilitate linkage of mother- baby pair to CHW for home care support to act early on danger signs
•	Implementation and monitoring of Emergency Triage, Assessment and Treatment (ETAT) guidelines at a facility level
",2.5 %,1 %,2.5 %,1.7 %,Target achieved,,2.5 %,2.7 %,Target achieved within 5% margin of error.,,2.5 %,0 %,,,,,,Target achieved,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,4.3.3 Cervical cancer screening coverage,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",43 %,46.1 %,Target achieved.,,43 %,40.0 %,43 %,46.1 %,Target achieved,,43 %,52 %,Target achieved.,,43 %,0 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.8: Coroner Services,Quarterly,6.4.5 Percentage of post – mortem performed within 72 hours,Non-Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",98 %,96.6 %,Target achieved within the 5% margin of error.,•	To recruit more medical officers in the forensic pathology laboratory centre that are affected by postmortem examination backlog.,98 %,93.3 %,98 %,91.5 %,"Target not achieved. Expiry of Medical Officer’s contracts at Mthatha, have contributed to the underperformance.","The contracts of Medical Officers have been renewed in the Mthatha region, and the provincial forensic pathology office will enhance management responsibilities through performance management strategies in the two affected regions (Port Elizabeth and Queenstown).",98 %,91.9 %,"Target not achieved, Postmortem examination was affected by the Prohibition notice issue at New Brighton.",To enhance continuous visit and inspection of facilities to ascertain compliance and strengthen skills on facility and personnel management. ,98 %,0 %,,,,,When will this be implemented? Is there budget allocated to it already? ,Target achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Annually,6.1.3 Patient experience of care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,79 %,80 %,,,,,,,,,79 %,80 %,,Target achieved.,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,1.1.6 Maternal mortality in facility ratio,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,63.4,67.3,"Target not achieved due to pregnant women with pre underlying conditions such as HIV, TB and hyperstension. ","•	District Clinical Specialists Teams to conduct outreach to district hospitals for mentoring programs and early identification of challenges.
•	Intensify health promotion activities within the communities.
•	All hospital rendering maternal and obstetric services should have high risk clinics for early identification of maternal challenges.
•	To promote school health activities focusing on childbearing age.
•	To enhance family planning to curb the rate of teenage pregnancy.
",63.4,61.2,63.4,39,Target achieved.,,63.4,104.1,"Target not achieved as a result of 
-women with pre-existing conditions e.g Cardiac disease,
-Hypertension
-booking late for Antenatal care
","- District Clinical Specialists Teams to conduct outreach to district hospitals for mentoring programs and early identification of challenges
- Identification of space in district hospital to accommodate maternal waiting beds for high pregnant women

",63.4,0,,,,,When will this be happening,Target not achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,1.3.12 Child under 5 years diarrhoea case fatality rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,1.8 %,2 %,"Target not achieved as a result herbal medicine use by parents and
delay in seeking medical intervention.
","•	To strengthen community outreach health talks targeting specific communities where herbal use is rife.
•	To strengthen collaboration with traditional healers for early referral of patients in need of medical intervention.
•	Conduct outreach activities to PHC for early identification of paediatric challenges.
",1.8 %,0.8 %,1.8 %,1.7 %,Target achieved.,,1.8 %,2.4 %,"-Target not achieved as a result of children dying due to herbal intoxication
- Delayed presentation to facilities for medical intervention

","- Multifaceted approach that includes strengthening of community based education on use of herbal medication
- To enhance collaboration with traditional practitioners for timeous referral of patients to health facilities 
",1.8 %,2 %,,,,,,Target achieved,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,1.3.13 Child under 5 years’ pneumonia case fatality rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,1.6 %,1 %,Target achieved.,,1.6 %,2.2 %,1.6 %,1.8 %,"Target not achieved, as a result of delays in seeking care by parents","To build capacity in district hospitals with resources for better management of children under 5 years.
- To strengthen community outreach health talks targeting specific communities where herbal medicine use is rife.
- To strengthen collaboration with traditional healers for early referral of patients in need of medical intervention conducting outreach activities to PHC for early identification of paediatric challenges.
",1.6 %,1.6 %,Target achieved,,1.6 %,1 %,,,,,,Target achieved,,When will this be implemented?,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,1.3.14 Child under 5 years severe acute malnutrition case fatality rate ,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,9.9 %,8.9 %,Target achieved.,,9.9 %,9.1 %,9.9 %,5.4 %,Target achieved.,,9.9 %,9.6 %,Target achieved within 5% margin of error.,,9.9 %,0 %,,,,,,Target achieved,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,1.3.15 Death under 5 years against live birth rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,1.4 %,1.7 %,"Target not achieved due to extreme organ prematurity, severe acute malnutrition and diarrhoea.","•	Strengthen Primary Health Care activities for early identification of high-risk pregnant women.
•	All hospital rendering maternal and obstetric services should have high risk clinics.
•	To promote school health activities focusing on childbearing age.
•	To enhance family planning for curbing the rate of teenage pregnancy.",1.4 %,1.7 %,1.4 %,1.8 %,Target not achieved due to preterm deliveries resulting to extreme organ prematurity.,"- Strengthen Primary Health Care activities for early identification of high-risk pregnant women.
- To strengthen outreach to PHC.
- To promote school health activities, enhance family planning for curbing the rate of teenage pregnancy.
- Intensify health promotion campaign for women of childbearing age.
- Training of clinical personnel on IMCI [Integrated Management of Childhood Illnesses].
",1.4 %,2.3 %,"Target not achieved as a result of
 - extreme prematurity of neonates
 - Pneumonia


","- Training of Clinicians on proper implementation of IMCI ( Intergrated Management of Child Illnesses) ESMOE ( Essential Steps in Managing Obstetric Emergencies) , BANC ( Basic Antenatal Care ) 
- Strengthening WBPHCOT ( Ward Based Primary Health Care Teams) activities regarding advocating for early booking at 12 weeks
- Expanding immunisation coverage by improving mobile services to the communities that cannot acces services in fixed facilities
",1.4 %,0 %,,,,,,Target achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,6.3.1 Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",75 %,68.6 %,Target not achieved as a result of patient safety incidents occurring during the weekend and maternity cases that take long to investigate.,"•	To have champions in the critical areas where most PSIs occur e.g maternity 
•	To register and create login details for managers in the critical areas to ensure capturing during weekends
",75 %,76.3 %,75 %,94.8 %,Target achieved.,,75 %,96 %,"Target overachieved due to continuous in-service traings, clinical audits & meetings discussing patient safety incidents which enable facilities to report in time",,75 %,0 %,,,,,,Target achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,6.3.10 Patient Safety Incident (PSI) case closure rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",91.7 %,86.5 %,Target not achieved as a result of maternity cases that take long to investigate.,"•	To have champions in the critical areas where most PSIs occur
•	To register and create login details for managers in the critical areas to ensure capturing during weekends
",91.7 %,100 %,91.7 %,94.9 %,Target achieved.,,91.7 %,99.2 %,"Target overachieved due to continuous in-services trainings, clinical audits & meetings discussing patient safety incidents resulting in prompt investigation and closure of PSI",,91.7 %,0 %,,,,,,Target overachieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,6.7.1 Average Length of Stay ,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",4.8,4.9,"Target not achieved due to patients with complicated medical conditions e.g Pulmonary TB, HIV/AIDS, and orthopaedic patients.","•	To strengthen clinical governance inorder to identify missed opportunities very early.
•	Monitoring early referral to the next level of care for identified patients.
•	To inculcate the culture of conducting morbidity audits to prevent poor management of patient
",4.8,4.9,4.8,4.7,Target achieved within methodological consideration of 5% margin of error within 95% confidence interval.,,4.8,5,Target achieved,,4.8,0,,,,,,Achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,6.7.11 Expenditure per PDE,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",3826,3805.4,Target achieved.,,3826,4 045.9,3826,3760.2,Target achieved.,,3826,8946.4,"Target not achieved due to data capturing errors e.g Cathcart (Amatole)
Jamestown, Burgersdorp, Steynsburg ( Joe Gqabi) capturing between R20 000,  R120 000, R70 000, – R140 000 respectively
They are rectifying the errors on DHIS
As at 24 April 2025 Joe Gqabi has rectified the error
","Extensive monitoring of data verification in each level, starting at facility level, sub-district, district and provincially",3826,0,,,,,,Target achieved within 5% margin of error,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,Sub-Programme 2.9: District Hospitals,Quarterly,6.7.6 Inpatient (usable) bed utilisation rates,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",48 %,49.1 %,Target achieved within the 5% margin of error.,,48 %,48.6 %,48 %,47.7 %,Target achieved within methodological consideration of 5% margin of error within 95% confidence interval.,,48 %,48.8 %,Target achieved,,48 %,0 %,,,,,,Achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,6.5.4 Number of Patients transported on the PTV services,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",48250,90574,Target not achieved. More patients have been moved to the specialist care services in regional and tertiary hospitals around the province,"•	Conduct an analysis of the reasons for transfer or referral using the planned patient transport.
•	Consider the use of outreach services and enrolment of patients on CCMDD to bring the service and medicines respectively closer to the patients.  
",48250,108 547,48250,88725,"Target not achieved. 
More patients are referred to specialist care in the province.
",More clients are referred to specialist care at the regional and tertiary hospitals. Monitor the trends. ,48250,69259,The target is not achieved due to the high demand for PPT services,Work with hospital services to increase outreach services and Pharmaceutical Services to expand CCMDD to cover more specialist conditions. ,193000,357105,,,,,,Target not achieved due to: Increased demand for PPT. PTV vehicles were used to transfer more patients to the next level of care for medical interventions and follow-ups to specialist clinics ,"•	Encourage strengthening of outreach services from tertiary and regional hospitals to district hospital to impact skills and knowledge.
•	Encourage strengthening of telemedicine and virtual teaching through innovative health technologies at low resource settings. 
•	Encourage establishment of meetings with regional and district hospitals to discuss issues affecting clinical care which impact to high demand patient transportation.
",,,,,222
Health,Health,Eastern Cape,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,EMS P1 rural response under 60 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",65 %,62.6 %,"Target achieved within 5% margin of error.
Inter-facility transfers keep the ambulances away from their area of operations resulting in delayed responses to the community. 
","Increase the number of rostered ambulances in the rural areas, additional personnel is required.

In the medium term, establish a dedicated staff for the inter-facility transfer and rollout the placement of
ambulances at hospitals for inter-facility transfers.",65 %,60.3 %,65 %,61.3 %,"Target not achieved. 
Rural ambulances are undertaking more inter-facility transfers, this keeps the ambulances away from their area of operations, resulting in delays in response times. 
",Recruitment of additional personnel for the inter-facility transport services in the rural areas. Submission will be made to the Annual Recruitment Plan for the recruitment of personnel and sourcing of funding.,65 %,56.9 %,"Target not achieved
High breakdown of vehicles in rural areas due to road infrastructure. GFMS  and first auto  system causing delays in repairs resulting in target not achieved
",In Engagement with GFMS they have indicated to monitor and address the problem with First Auto to reduce the down time of Ambulances,65 %,0 %,,,,,,"Target not achieved due to the following constraints:
•	High interfacility transfers between rural hospitals and regional/tertiary hospitals that are located in urban areas.  This serves to compromise the availability of ambulances to respond to pre-hospital / community cases 
•	High number of grounded vehicles in rural district due to high utilization and challenge road terrains that lead to frequent breakdown.
",Additional personnel will be required for the rural districts as there are a high number of patients that needs to be referred to the next level of care. ,,When will this happen? Have you verified the budget for this current financial year in connection with your corrective measure ot ensure that this is doable?,,,222
Health,Health,Eastern Cape,Programme 3: Emergency Medical Services,Programme 3: Emergency Medical Services,Quarterly,EMS P1 urban response under 30 minutes rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",56 %,66.6 %,"Target overachieved. 
In the Nelson Mandela Bay, EMS services have been decentralized resulting in improved response times.
",,56 %,65.6 %,56 %,67.2 %,"Target overachieved. 
The de-centralisation of urban stations helped to reduce the response times in the urban areas. 
",,56 %,70 %,"Target exceeded
EMS CAD system in Gqeberha has improved the dispatching system to reduce response times and resulting in overachieving target
",,56 %,0 %,,,,,What is the reason for deviation?,Target overachieved due to the decentralisation of EMS Stations in the Nelson Mandela District; we were able to respond within the response rate.,,,,,,222
Health,Health,Eastern Cape,Programme 3: Emergency Medical Services,Sub-programme 1: Emergency Transport,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Cervical cancer screening,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Death in facility under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Severe acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Sub-Programme 1: General (Regional) Hospitals,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Sub-Programme 4.1: Provincial (Regional) Hospital Services,Annually,6.1.4 Patient experience of care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",,,,,74 %,78 %,,,,,,,,,74 %,78 %,,Target achieved. The QIPs were crafted and gaps corrected from the previous PEC done in 2023,,,,,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Sub-Programme 4.1: Provincial (Regional) Hospital Services,Quarterly,1.1.7 Number of maternal deaths in facility ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",9,7,Target achieved,,10,8,10,5,Target achieved.,,9,8,Target achieved,,38,28,,,,,,Target achieved,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Sub-Programme 4.1: Provincial (Regional) Hospital Services,Quarterly,1.3.16 Child under 5 years diarrhoea case fatality rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",2.2 %,3 %,Target achieved within 5% margin of error,,2.2 %,1.2 %,2.2 %,0 %,Target achieved.,,2.2 %,3.7 %,Target not achieved. An increase in cases of severe diarrhoea associated with herbal intoxication has been observed.,Strengthening of outreach visits involving WBOT at the district level for follow-up visits.,2.2 %,3 %,,,,,,Target achieved,,,,,,222
Health,Health,Eastern Cape,Programme 4: Provincial Hospital Services,Sub-Programme 4.1: Provincial (Regional) Hospital Services,Quarterly,1.3.17 Child under 5 years’ pneumonia case fatality rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",2.7 %,1.9 %,Target achieved,,2.7 %,3.8 %,2.7 %,2.5 %,Target achieved.,,2.7 %,5.8 %,Target not achieved. Factors include warning signs not being picked up by the caregivers in time. ,Strengthening of outreach visits involving WBOT at the district level for follow-up visits.,2.7 %,,,,,,,Target not achieved.,,,,,,222
